popularity,year,rating,name,director,actors
44,2009,7.4,Arya 2,Sukumar,"['Allu Arjun', 'Kajal Aggarwal', 'Navdeep', 'Mukesh Rishi']"
45,2008,7.3,Jalsa,Trivikram Srinivas,"['Pawan Kalyan', ""Ileana D'Cruz"", 'Mukesh Rishi', 'Kamalinee Mukherjee']"
46,2004,7.8,Arya,Sukumar,"['Allu Arjun', 'Anuradha Mehta', 'Siva Balaji', 'Rajan P. Dev']"
47,2013,7.5,Seethamma Vakitlo Sirimalle Chettu,Srikanth Addala,"['Venkatesh Daggubati', 'Mahesh Babu', 'Samantha Akkineni', 'Prakash Raj']"
48,2021,7.6,Jathi Ratnalu,Anudeep K.V.,"['Naveen Polishetty', 'Priyadarshi', 'Rahul Ramakrishna', 'Faria Abdullah']"
49,2017,7.0,Jai Lava Kusa,K.S. Ravindra,"['N.T. Rama Rao Jr.', 'Raashi Khanna', 'Nivetha Thomas', 'Brahmaji']"
50,2018,9.0,C/o Kancharapalem,Venkatesh Maha,"['Radha Bessy', 'Subba Rao Vepada', 'Praneeta Patnaik', 'Karthik Rathnam']"
51,2012,7.2,Julayi,Trivikram Srinivas,"['Allu Arjun', ""Ileana D'Cruz"", 'Rajendra Prasad', 'Sonu Sood']"
52,2007,7.9,Happy Days,Sekhar Kammula,"['Varun Sandesh', 'Tamannaah Bhatia', 'Raahul', 'Sonia']"
53,2016,8.3,Kshanam,Ravikanth Perepu,"['Adivi Sesh', 'Adah Sharma', 'Anasuya Bharadwaj', 'Satyadev Kancharana']"
54,2016,6.5,Sarrainodu,Boyapati Srinu,"['Allu Arjun', 'Aadhi', 'Rakul Preet Singh', 'Catherine Tresa']"
55,2021,7.3,Krack,Gopichand Malineni,"['Ravi Teja', 'Shruti Haasan', 'Samuthirakani', 'Varalaxmi Sarathkumar']"
56,2016,8.0,Oopiri,Vamshi Paidipally,"['Nagarjuna Akkineni', 'Karthi', 'Tamannaah Bhatia', 'Prakash Raj']"
57,2019,8.2,Evaru,Venkat Ramji,"['Adivi Sesh', 'Regina Cassandra', 'Naveen Chandra', 'Murli Sharma']"
58,2009,7.8,Kick,Surender Reddy,"['Ravi Teja', ""Ileana D'Cruz"", 'Shaam', 'Brahmanandam']"
59,2001,8.0,Khushi,S.J. Suryah,"['Bhoomika Chawla', 'Sudhakar', 'Vijayakumar', 'Nassar']"
60,1957,9.1,Maya Bazaar,Kadiri Venkata Reddy,"['Taraka Rama Rao Nandamuri', 'S.V. Ranga Rao', 'Savitri', 'Gemini Ganesan']"
61,2010,8.0,Leader,Sekhar Kammula,"['Rana Daggubati', 'Richa Langella', 'Priya Anand', 'Joy Badlani']"
62,2020,8.5,Colour Photo,Sandeep Raj,"['Suhas', 'Chandini Chowdary', 'Suneel', 'Harsha Chemudu']"
63,2018,7.8,Awe!,Prasanth Varma,"['Kajal Aggarwal', 'Nithya Menen', 'Srinivas Avasarala', 'Regina Cassandra']"
64,2013,6.4,Baadshah,Sreenu Vaitla,"['Kajal Aggarwal', 'Mahesh Babu', 'Siddharth', 'Ritu Varma']"
65,2013,7.3,Mirchi,Koratala Siva,"['Prabhas', 'Anushka Shetty', 'Richa Langella', 'Sathyaraj']"
66,2015,7.0,S/O Satyamurthy,Trivikram Srinivas,"['Allu Arjun', 'Samantha Akkineni', 'Adah Sharma', 'Nithya Menen']"
67,2001,8.7,Nuvvu Naaku Nachchav,Vijay K. Bhaskar,"['Venkatesh Daggubati', 'Aarthi Agarwal', 'Suhasini', 'Ananth']"
68,2005,7.6,Chatrapathi,S.S. Rajamouli,"['Prabhas', 'Bhanupriya', 'Shriya Saran', 'Shafi']"
69,2001,7.8,Murari,Krishna Vamsi,"['Mahesh Babu', 'Sonali Bendre', 'Lakshmi', 'Satyanarayana Kaikala']"
70,2010,7.1,Brindaavanam,Vamshi Paidipally,"['N.T. Rama Rao Jr.', 'Kajal Aggarwal', 'Samantha Akkineni', 'Prakash Raj']"
71,2017,5.7,Duvvada Jagannadham,Harish Shankar,"['Allu Arjun', 'Rao Ramesh', 'Murli Sharma', 'Pooja Hegde']"
72,2006,7.7,Vikramarkudu,S.S. Rajamouli,"['Ravi Teja', 'Anushka Shetty', 'Annie', 'Brahmanandam']"
73,2017,7.5,Fidaa,Sekhar Kammula,"['Sai Pallavi', 'Varun Tej', 'Sarah Uriarte Berry', 'Harshvardhan Rane']"
74,2014,8.3,Drushyam,Sripriya,"['Venkatesh Daggubati', 'Meena', 'Nadia Moidu', 'Kruthika']"
75,2014,5.4,Aagadu,Sreenu Vaitla,"['Tamannaah Bhatia', 'Shruti Haasan', 'Mahesh Babu', 'Nassar']"
76,2015,7.3,Gopala Gopala,Kishore Kumar Pardasani,"['Venkatesh Daggubati', 'Pawan Kalyan', 'Shriya Saran', 'Mithun Chakraborty']"
77,2011,6.5,Panjaa,Vishnuvardhan,"['Pawan Kalyan', 'Sarah Jane Dias', 'Anjali Lavania', 'Jackie Shroff']"
78,1998,8.2,Tholi Prema,A. Karunakaran,"['Kirti Reddy', 'Vasuki', 'Pawan Kalyan', 'Ali']"
79,2007,7.3,Yamadonga,S.S. Rajamouli,"['N.T. Rama Rao Jr.', 'Mohan Babu', 'Priyamani', 'Mamta Mohandas']"
80,2020,7.7,Hit,Sailesh Kolanu,"['Vishwak Sen', 'Ruhani Sharma', 'Murli Sharma', 'Bhanuchander']"
