popularity,year,rating,name,director,actors
676,2011,6.0,Mugguru,V.N. Aditya,"['Navdeep', 'Srinivas Avasarala', 'Raahul', 'Reemasen']"
677,2011,3.7,Mogudu,Krishna Vamsi,"['Tottempudi Gopichand', 'Taapsee Pannu', 'Rajendra Prasad', 'Shraddha Das']"
678,2012,5.9,Routine Love Story,Praveen Sattaru,"['Regina Cassandra', 'Chandramohan', 'Hema', 'Sundeep Kishan']"
679,2001,7.2,Anandam,Sreenu Vaitla,"['Aakash', 'Babloo', 'Banerjee', 'Tanikella Bharani']"
680,2020,6.4,Maa Vintha Gaadha Vinuma,Aditya Mandala,"['Tanikella Bharani', 'Kalpika Ganesh', 'V. Jayaprakash', 'Sidhu Jonnalagadda']"
681,1963,7.7,Narthanasala,Kamalakara Kameshwara Rao,"['Savitri', 'Taraka Rama Rao Nandamuri', 'Rajagopal Dandamudi', 'S.V. Ranga Rao']"
682,2017,5.5,Radha,Chandra Mohan Chintada,"['Sharwanand', 'Lavanya Tripathi', 'Aksha Pardasany', 'Mahesh Achanta']"
683,1993,5.9,Detective Naarada,Vamsy,"['Mohan Babu', 'Mohini', 'Nirosha', 'Kongara Jaggaiah']"
684,2016,4.5,Speedunnodu,Srinivasa Rao Bhimaneni,"['Sai Srinivas Bellamkonda', 'Sonarika Bhadoria', 'Prakash Raj', 'Ali']"
685,2020,6.9,Anaganaga O Athidhi,Dayal Padmanabhan,"['Chakrapani Ananda', 'Darbha Appaji Ambarisha', 'Chaitanya Krishna', 'Payal Rajput']"
686,2015,5.1,Raju Gari Gadhi,Omkar,"['Ashwin Babu', 'Dhanya Balakrishna', 'Chethan Cheenu', 'Dhanraj']"
687,2020,7.7,Amaram Akhilam Prema,Jonathan Vesapogu,"['Keshav Deepak', 'Naresh Garu', 'Srikanth Iyengar', 'Vijay Ram']"
688,2004,2.1,Vijayendra Varama,Swarna Subba Rao,"['Nandamuri Balakrishna', 'Laya', 'Ankita', 'Sangeetha']"
689,2005,5.6,Bhageeratha,Rasool Ellore,"['Ravi Teja', 'Shriya Saran', 'Brahmanandam', 'Hema']"
690,2018,6.9,Vijetha,Rakesh Sashi,"['Kalyaan Dhev', 'Malavika Nair', 'Murli Sharma', 'Nassar']"
691,2021,5.0,Sashi,Srinivas Naidu Nadikatla,"['Aadi', 'Aadi', 'Mahesh Achanta', 'Ajay']"
692,2020,4.5,Anukunnadi Okkati Ayyindhi Okati,Baalu Adusumilli,"['Dhanya Balakrishna', 'Siddhi Idnani', 'Tridha Choudhury', 'Komalee Prasad']"
693,2013,4.7,Gundello Godari,Kumar Nagendra,"['Aadhi', 'Sundeep Kishan', 'Lakshmi Manchu', 'Taapsee Pannu']"
694,2000,6.2,Azaad,Tirupati Swamy,"['Nagarjuna Akkineni', 'Soundarya', 'Shilpa Shetty Kundra', 'Prakash Raj']"
695,1997,7.4,Sindhooram,Krishna Vamsi,"['Brahmaji', 'Ravi Teja', 'Sanghavi', 'Soundarya']"
696,1997,5.6,Veedevadandi Babu,E.V.V. Satyanarayana,"['Mohan Babu', 'Shilpa Shetty Kundra', 'Tanikella Bharani', 'Brahmanandam']"
697,2018,4.0,Ye Mantram Vesave,Shridhar Marri,"['Vijay Deverakonda', 'Aditya', 'Akshay', 'Anjali']"
698,1991,6.8,Nirnayam,Priyadarshan,"['R.R. Shinde', 'Nagarjuna Akkineni', 'Amala Akkineni', 'Murali Mohan', 'Subhalekha Sudhakar']"
699,2008,4.0,Baladoor,Shanker Udaya,"['Ravi Teja', 'Anushka Shetty', 'Krishna Ghattamaneni', 'Pradeep Singh Rawat']"
700,1991,3.6,Rowdy Gari Pellam,K.S. Prakash Rao,"['Mohan Babu', 'Brahmanandam', 'Shobana']"
701,2018,6.1,W/O Ram,Vijay Yelakanti,"['Lakshmi Manchu', 'Samrat', 'Aadarsh Balakrishna', 'Priyadarshi']"
702,2019,4.6,Operation Gold Fish,Sai Kiran Adivi,"['Aadi', 'Sasha Chettri', 'Nithya Naresh', 'Krishnudu']"
703,2012,4.2,Srimannarayana,Ravi C. Kumar,"['Nandamuri Balakrishna', 'Parvati Melton', 'Isha Chawla', 'Kota Srinivasa Rao']"
704,2011,3.3,Bezawada,Vivek Krishna,"['Naga Chaitanya Akkineni', 'Amala Paul', 'Prabhu', 'Kota Srinivasa Rao']"
705,2012,7.5,Minugurulu,Ayodhyakumar Krishnamsetty,"['Deepak Saroj', 'Sreenivasa Sayee', 'Suhasini', 'Ashish Vidyarthi']"
706,2019,7.2,Heza,Munna Kasi,"['Munna Kasi', 'Mumait Khan']"
707,1992,5.6,Allari Mogudu,K. Raghavendra Rao,"['Mohan Babu', 'Meena', 'Ramya Krishnan', 'Satyanarayana Kaikala']"
708,2015,6.5,Asura,Krishna Vijay,"['Vasant Kumar Jurru', 'Ravi Varma', 'Priya Banerjee', 'Bhanu', 'Satyadev Kancharana']"
709,2002,6.6,Avunu Valliddaru Ishtapaddaru,Vamsy,"['Venkat Maddirala', 'Ravi Teja', 'Kaveri', 'Prasanna', 'Prasanna']"
710,2007,2.3,Maharadhi,P. Vasu,"['Nandamuri Balakrishna', 'Sneha', 'Meera Jasmine', 'Jaya Prada']"
711,2018,3.9,Nartanasala,Srinivas Chakravarthi,"['Naga Shaurya', 'Kashmira', 'Yamini Bhaskar', 'Abhilash']"
712,2019,6.7,2 Hours Love,Sri Pawar,"['Tanikella Bharani', 'Kriti Garg', 'Sri Pawar', 'Vardhan']"
713,2003,2.7,Palnati Brahmanayudu,Gopal B.,"['Nandamuri Balakrishna', 'Aarthi Agarwal', 'Sonali Bendre', 'Brahmanandam']"
714,1989,7.1,Athaku Yamudu Ammayiki Mogudu,Kodanda Rami Reddy A.,"['Chiranjeevi', 'Vijayshanti', 'Vanisri', 'Raogopalrao']"
715,2008,5.0,Sathyam,Rajsekhar,"['Vishal', 'Nayanthara', 'Brahmanandam', 'Kota Srinivasa Rao']"
716,I) (2020,2.0,Climax,Ram Gopal Varma,"['Mia Malkova', 'Renan Severo']"
717,2003,6.7,Satyam,R. Surya Kiran,"['Sumanth', ""Genelia D'Souza"", 'Kota Srinivasa Rao', 'Brahmanandam']"
718,I) (1983,7.3,Abhilasha,Kodanda Rami Reddy A.,"['Chiranjeevi', 'Radhika Sarathkumar', 'Raogopalrao', 'Rallapalli']"
719,2011,5.0,Katha Screenplay Darsakatvam: Appalaraju,Ram Gopal Varma,"['Suneel', 'Swathi Reddy', 'Sakshi Gulati', 'Brahmanandam']"
720,1998,6.6,Chandralekha,Krishna Vamsi,"['Nagarjuna Akkineni', 'Ramya Krishnan', 'Isha Koppikar', 'Murali Mohan']"
721,2001,6.7,Nuvvu Nenu,Teja,"['Uday Kiran', 'Anita Hassanandani Reddy', 'Suneel', 'Banerjee']"
722,1991,7.3,Appula Appa Rao,E.V.V. Satyanarayana,"['Rajendra Prasad', 'Shobana', 'Brahmanandam', 'Ramaprabha']"
723,2021,5.6,Bangaru Bullodu,P.V. Giri,"['Ananth', 'Bhadram', 'Tanikella Bharani', 'Bhupal']"
724,1985,7.1,Ladies Tailor,Vamsy,"['Rajendra Prasad', 'Archana', 'Rallapalli', 'Vijaya Y.']"
725,1982,7.4,Subhalekha,K. Viswanath,"['Chiranjeevi', 'Sumalatha', 'Satyanarayana Kaikala', 'Tulasi']"
726,2003,5.7,Vasantham,Vikraman,"['Aarthi Agarwal', 'Akash', 'Ananth', 'Tanikella Bharani']"
727,2010,7.1,Andari Bandhuvaya,Chandra Siddhartha,"['Sharwanand', 'Padmapriya', 'Jeeva', 'Pragathi']"
728,2019,6.1,Nenu Lenu,Ram Kumar,"['Harshith', 'Harshith Koditham', 'Sri Padma']"
729,1997,7.2,Preminchukundam Raa,Jayant Paranji,"['Venkatesh Daggubati', 'Anjala Zaveri', 'Babu Mohan', 'Banerjee']"
730,1992,6.9,Chanti,Ravi Raja Pinisetty,"['Venkatesh Daggubati', 'Meena', 'Brahmanandam', 'Kallu Chidambaram']"
731,2012,6.4,Avunu,Ravi Babu,"['Harshvardhan Rane', 'Shamna Kasim', 'Ravi Babu', 'Gayatri Bhargavi']"
732,1990,6.9,Bobbili Raja,Gopal B.,"['Venkatesh Daggubati', 'Divya Bharti', 'Vanisri', 'Babu Mohan']"
733,2015,5.5,James Bond,Sai Kishore Macha,"['Allari Naresh', 'Sakshi Chaudhary', 'Raghu Babu', 'Banerjee']"
734,2011,3.8,Dongala Mutha,Ram Gopal Varma,"['Brahmaji', 'Brahmanandam', 'Charmy Kaur', 'Krishna Maaya']"
735,2010,7.3,Bheemli Kabadi Jattu,Tatineni Satya,"['Nani', 'Saranya Mohan', 'Kishore Kumar G.', 'Shiva']"
736,1995,6.8,Subha Sankalpam,K. Viswanath,"['Kamal Haasan', 'K. Viswanath', 'Aamani', 'Priya Raman']"
737,2009,6.8,Bendu Apparao RMP,E.V.V. Satyanarayana,"['Allari Naresh', 'Kamna Jethmalani', 'Meghana Raj', 'Ali']"
738,1993,4.8,Rowdy Mogudu,Mohan Gandhi,"['Mohan Babu', 'Brahmanandam']"
739,2005,2.7,Veerabhadra,A.S. Ravi Kumar Chowdary,"['Nandamuri Balakrishna', 'Tanushree Dutta', 'Sada', 'Ajay']"
740,2015,5.4,Courier Boy Kalyan,Premsai,"['Nithiin', 'Yami Gautam', 'Nassar', 'Ashutosh Rana']"
741,2001,6.4,Itlu Sravani Subramanyam,Puri Jagannadh,"['Ravi Teja', 'Tanu Roy', 'Samrin', 'Ananth']"
742,2021,6.7,Y,Baalu Adusumilli,"['Raghu Babu', 'Akshay Chandra', 'Rahul Ramakrishna', 'Deviyani Sher']"
743,1996,6.4,Deyyam,Ram Gopal Varma,"['J.D. Chakravarthi', 'Jayasudha', 'Maheshwari', 'Jagan']"
744,2011,6.1,Seema Tapakai,G. Nageswara Reddy,"['Allari Naresh', 'Shamna Kasim', 'Vennela Kishore', 'Sudha']"
745,1999,5.1,Iddaru Mitrulu,K. Raghavendra Rao,"['Chiranjeevi', 'Sakshi Shivanand', 'Ramya Krishnan', 'Suresh']"
746,2005,6.9,A Film by Aravind,Sekhar Suri,"['Sherlyn Chopra', 'Rajeev Kanakala', 'Richard Rishi', 'Harish Shankar']"
747,2004,4.5,Sri Anjaneyam,Krishna Vamsi,"['Nithiin', 'Charmy Kaur', 'Ananth', 'Jogi Brothers']"
748,2020,5.9,Valayam,Ramesh Kadumula,"['Sri Sudha', 'Digangana Suryavanshi', 'Ravi Prakash', 'Kalpalatha']"
749,2013,3.2,Bhai,Veerabhadram,"['Nagarjuna Akkineni', 'Richa Langella', 'Sonu Sood', 'Ashish Vidyarthi']"
750,II) (2005,6.5,Danger,Krishna Vamsi,"['Allari Naresh', 'Sairam Shankar', 'Swathi Reddy', 'Sherin Shringar']"
751,2021,6.2,Thank You Brother!,Ramesh Raparthi,"['Anish Kuruvilla', 'Anasuya Bharadwaj', 'Viraj Ashwin', 'Kadambari Kiran']"
752,2018,5.6,Subrahmanyapuram,Santhossh Jagarlapudi,"['Ramoji Suresh', 'Sumanth', 'Eesha Rebba', 'Bhadram', 'Vajja Venkata Giridhar']"
753,2009,5.3,Sasirekha Parinayam,Krishna Vamsi,"[""Genelia D'Souza"", 'Tarun', 'Aahuthi Prasad', 'Gopalakrishna Paruchuri']"
754,2010,4.7,Baava,Rambabu,"['Siddharth', 'Rajendra Prasad', 'Pranitha', 'Raghu Babu']"
755,1992,4.3,Chitemma Mogudu,Kodi Ramakrishna,"['Mohan Babu', 'Pooja Bedi', 'Divya Bharti', 'Brahmanandam']"
756,2015,4.6,Singham123,Akshat Ajay Sharma,"['Annapoorna', 'Sampoornesh Babu', 'Bhavani', 'Prudvi Raj']"
757,2006,6.5,Ranam,Rajsekhar,"['Tottempudi Gopichand', 'Kamna Jethmalani', 'Ali', 'Chandramohan']"
758,1999,5.6,Seenu,Sashi,"['Venkatesh Daggubati', 'Twinkle Khanna', 'Raasi', 'Madhushri']"
759,1990,2.3,Maa Inti Katha,Muthyala Subbaiah,"['Mohan Babu', 'Brahmanandam', 'Vani Viswanath']"
760,2019,5.5,ABCD: American-Born Confused Desi,Sanjeev Reddy,"['Master Bharath', 'Rukshar Dhillon', 'KS Jairam', 'Rukshar Mir']"
761,2020,6.1,Dirty Hari,M.S. Raju,"['Darbha Appaji Ambarisha', 'Keshav Deepak', 'Simrat Kaur', 'Shravan Reddy']"
762,2019,4.8,Tenali Ramakrishna BA.BL,G. Nageswara Reddy,"['Sundeep Kishan', 'Vennela Kishore', 'Hansika Motwani', 'Varalaxmi Sarathkumar']"
763,1984,2.7,Padmavyuham,G.C. Sekhar,"['Mohan Babu', 'Prabha']"
764,2019,7.2,Kousalya Krishnamurthy,Srinivasa Rao Bhimaneni,"['Mahesh Achanta', 'Jhansi', 'Vennela Kishore', 'Vishnu Oi']"
765,2019,6.2,Kobbari Matta,Rupak Ronaldson,"['Devaki Aacharya', 'Ajay', 'Anjineyulu', 'Anurag']"
766,2008,6.4,Blade Babji,Devi Prasad,"['Allari Naresh', 'Sayali Bhagat', 'Krishna Bhagavan', 'Brahmanandam']"
767,2009,6.0,Mahathma,Krishna Vamsi,"['Meka Srikanth', 'Bhavana', 'Charmy Kaur', 'Jayaprakash Reddy']"
768,1993,7.2,Money,Siva Nageshwara Rao,"['Jayasudha', 'Chinna', 'J.D. Chakravarthi', 'Paresh Rawal']"
769,2018,6.0,Silly Fellows,Srinivasa Rao Bhimaneni,"['Allari Naresh', 'Suneel', 'Shamna Kasim', 'Chitra Shukla']"
770,2016,7.2,Jayammu Nischayammuu Raa,Shiva Raj Kanumuri,"['Ravi Varma', 'Krishna Murali Posani', 'Rahul Ramakrishna', 'Srinivasa Reddy']"
771,1998,6.4,Aavida Maa Aavide,E.V.V. Satyanarayana,"['Nagarjuna Akkineni', 'Tabu', 'Heera Rajgopal', 'Giri Babu']"
772,1991,6.9,Rowdy Alludu,K. Raghavendra Rao,"['Chiranjeevi', 'Divya Bharti', 'Shobana', 'Kota Srinivasa Rao']"
773,2001,6.8,Hanuman Junction,Mohan Raja,"['Jagapathi Babu', 'Arjun Sarja', 'Venu Thottempudi', 'Laya']"
774,2003,6.9,Pellam Oorelithe,S.V. Krishna Reddy,"['Srikanth', 'Venu Thottempudi', 'Rakshitha', 'Sangeetha']"
775,2018,7.2,Aatagadharaa Siva,Chandra Siddhartha,"['Hyper Aadi', 'Bhadram', 'Chammak Chandra', 'Chanti']"
776,2008,5.8,Souryam,Siva,"['Tottempudi Gopichand', 'Anushka Shetty', 'Poonam Kaur', 'Ajay']"
777,2000,7.2,Chiru Navvuto,G. Ram Prasad,"['Venu Thottempudi', 'Prema', 'Shaheen Khan', 'Prakash Raj']"
778,1984,2.5,Bhale Ramudu,K.S.R. Das,"['Mohan Babu', 'Madhavi', 'Murali Mohan']"
779,2005,6.6,Andhrudu,Paruchuri Murali,"['Tottempudi Gopichand', 'Gowri Pandit', 'Sayaji Shinde', 'Saleem Baig']"
780,2009,7.1,Baanam,Chaitanya Dantuluri,"['Akurati Ramhith', 'Bhanuchander', 'Randhir Gatla', 'Vajja Venkata Giridhar']"
781,2000,6.7,Nuvvu Vasthavani,V.R. Pratap,"['Nagarjuna Akkineni', 'Simran', 'Ali', 'Tanikella Bharani']"
782,II) (2020,5.0,Murder,Anand Chandra,"['Ram Gopal Varma', 'Sahithi Avancha', 'Gayatri Bhargavi', 'Keshav Deepak', 'Vajja Venkata Giridhar']"
783,1999,6.6,Devi,Kodi Ramakrishna,"['Prema', 'Vanitha', 'Vanitha Vijayakumar', 'Abu Salim']"
784,2017,6.7,Ami Thumi,Mohana Krishna Indraganti,"['Adivi Sesh', 'Srinivas Avasarala', 'Eesha Rebba', 'Aditi Myakal']"
785,2021,6.5,Pranavam,Kumar,"['Jabardasth Bobby', 'Rema Gayatri', 'Avanthika Harinalwa', 'Sree Mangam']"
786,2020,8.7,Shivan,Shivan,"['Sai Teja Kalvakota', 'C.V.L. Narasimha Rao', 'Taruni Singh']"
787,2013,4.0,Jabardasth,B.V. Nandini Reddy,"['Samantha Akkineni', 'Siddharth', 'Srihari', 'Nithya Menen']"
788,2019,3.4,Kamma Rajyam Lo Kadapa Reddlu,Siddharth Thatholu,"['Ram Gopal Varma', 'Brahmanandam', 'Rajsekhar Aningi', 'Ali']"
789,1996,7.0,Gulabi,Krishna Vamsi,"['J.D. Chakravarthi', 'Maheshwari', 'Brahmaji', 'Banerjee']"
790,1989,2.8,Naa Mogudu Nanke Sontham,Narayana Rao Dasari,"['Mohan Babu', 'Narayana Rao Dasari', 'Jayasudha', 'Vani Viswanath']"
791,I) (1967,7.6,Bhakta Prahlada,Chitrapu Narayana Rao,"['Roja Ramani', 'S.V. Ranga Rao', 'Anjali Devi', 'Haranath']"
792,I) (2012,5.4,Lovely,Jaya B.,"['Aadi', 'Shanvi Srivastava', 'Rajendra Prasad', 'Chinmayi Ghatrazu']"
793,1993,7.2,Rajendrudru Gajendrudru,S.V. Krishna Reddy,"['Ranga Rao Kurra', 'Rajendra Prasad', 'Soundarya', 'Kota Srinivasa Rao', 'Brahmanandam']"
794,1987,1.6,Veera Prathap,B. Vittalacharya,"['Mohan Babu', 'Madhavi']"
795,2019,7.4,Project Z,C.V. Kumar,"['Daniel Balaji', 'Mime Gopi', 'Sundeep Kishan', 'Jackie Shroff']"
796,2020,6.6,Oka Chinna Viramam,Sundeep Cheguri,"['Punarnavi Bhupalam', 'Garima', 'Naveen Neni', 'Sanjay Varma']"
797,2014,5.4,Ra Ra Krishnayya,Mahesh P.,"['Jagapathi Babu', 'Ravi Babu', 'Tanikella Bharani', 'Regina Cassandra']"
798,2009,3.3,Rechipo,Paruchuri Murali,"['Nithiin', ""Ileana D'Cruz"", 'Ali', 'Raghu Babu']"
799,2000,6.0,Ninne Premistha,R.R. Shinde,"['Nagarjuna Akkineni', 'Soundarya', 'Srikanth', 'Rajendra Prasad']"
800,2018,4.2,Naa Nuvve,Jayendra,"['Nikitha Anil', 'Tanikella Bharani', 'Tamannaah Bhatia', 'Vennela Kishore']"
801,1951,6.8,Malliswari,B.N. Reddi,"['Doraiswamy', 'Subba Rao K.V.', 'Surabhi Kamalabai', 'Miss Kumari']"
802,1996,3.4,Adhirindhi Alludu,E.V.V. Satyanarayana,"['Mohan Babu', 'Brahmanandam', 'Ramya Krishnan']"
803,1992,6.1,Antham,Ram Gopal Varma,"['Nagarjuna Akkineni', 'Urmila Matondkar', 'Danny Denzongpa', 'Salim Ghouse']"
804,2018,5.3,Brand Babu,P. Prabhakar,"['Sumanth Shailendra', 'Eesha Rebba', 'Murli Sharma', 'Kotesh Manava']"
805,2012,5.8,Poola Rangadu,Veerabhadram,"['Suneel', 'Isha Chawla', 'Dev Gill', 'Pradeep Singh Rawat']"
806,2008,4.3,Aatadista,A.S. Ravi Kumar Chowdary,"['Nithiin', 'Kajal Aggarwal', 'Amit', 'Babu Mohan']"
807,1992,6.8,Chitram Bhalare Vichitram,Ramachandra Rao P.N.,"['V.K. Naresh', 'Brahmanandam', 'Raajivi', 'Subhalekha Sudhakar']"
808,2019,5.8,Dorasani,K.V.R. Mahendra,"['Joy Badlani', 'Anand Deverakonda', 'Kishore Kumar G.', 'Anurag Parvathaneni']"
809,1996,6.1,Sahasa Veerudu Sagara Kanya,K. Raghavendra Rao,"['Venkatesh Daggubati', 'Shilpa Shetty Kundra', 'Malasri', 'Brahmanandam']"
810,2017,4.5,Notuku Potu,Basheed S.K.,"['Mumait Khan', 'Manisha Koirala', 'Arjun Sarja']"
811,2018,4.8,24 Kisses,Ayodhyakumar Krishnamsetty,"['Hebah Patel', 'Adith Arun', 'Abban', 'Amrutha']"
812,1992,6.9,Sundara Kanda,K. Raghavendra Rao,"['Venkatesh Daggubati', 'Aparna', 'Meena', 'Gollapudi Maruthi Rao']"
813,2016,5.3,Oka Manasu,G. Ramaraju,"['Niharika Konidela', 'Mahesh Achanta', 'Naga Shaurya']"
814,2003,7.0,Missamma,Neelakanta,"['Ramesh K.V.', 'Laya', 'Bhoomika Chawla', 'Sivaji', 'Tanikella Bharani']"
815,2019,5.6,Suryakantham,Pranith Bramandapally,"['Karthik Appala', 'Kanchan Bamane', 'Perlene Bhesania', 'Akshara Kishor']"
816,2005,6.8,Athanokkade,Surender Reddy,"['Nandamuri Kalyan Ram', 'Sindhu Tolani', 'Ajay', 'Raghu Babu']"
817,2018,5.3,Aatagallu,Paruchuri Murali,"['Baby Akshara', '143 Anand', 'Avanthika', 'Jagapathi Babu']"
818,1995,6.9,Money Money,Siva Nageshwara Rao,"['Krishna Vamsi', 'Jayasudha', 'Kota Srinivasa Rao', 'J.D. Chakravarthi', 'Chinna']"
819,1958,7.2,Bhookailas,K. Shankar,"['Taraka Rama Rao Nandamuri', 'Akkineni Nageshwara Rao', 'Jamuna', 'S.V. Ranga Rao']"
820,2016,4.4,Thikka,Sunil K. Reddy,"['Ajay', 'Ali', 'Anand', 'Raghu Babu']"
821,2016,5.8,Okka Ammayi Thappa,Rajasimha,"['Sundeep Kishan', 'Nithya Menen', 'Ravi Kishan', 'Ali']"
822,1992,2.9,Donga Police,K.S. Prakash Rao,"['Mohan Babu', 'Brahmanandam', 'Mamta Kulkarni']"
823,1982,1.5,Prathigna,Boyani Subbarao,"['Mohan Babu', 'Kavitha']"
824,2006,7.2,Amma Cheppindi,Gunnam Gangaraju,"['Suhasini', 'Sharwanand', 'Shreya Reddy', 'Krishna Bhagavan']"
825,2018,5.5,Ammammagarillu,Sundar Surya,"['Hasini Anvi', 'Hema', 'Madhumani', 'Krishna Murali Posani']"
826,2017,5.7,Andhhagadu,Veligonda Srinivas,"['Raj Tarun', 'Hebah Patel', 'Rajendra Prasad', 'Mahesh Achanta']"
827,2019,5.4,Iddari Lokam Okate,G.R. Krishna,"['Nassar', 'Shalini Pandey', 'Rohini', 'Siri Chandana']"
828,2018,4.5,Next Enti?,Kunal Kohli,"['Sundeep Kishan', 'Tamannaah Bhatia', 'Poonam Kaur', 'Sarath Babu']"
829,2013,7.2,Naa Bangaaru Talli,Rajesh Touchriver,"['Siddique', 'Anjali Patil', 'Lakshmi Menon', 'Nina Kurup']"
830,2011,5.9,Prema Kavali,Vijay K. Bhaskar,"['Aadi', 'Isha Chawla', 'Dev Gill', 'Nassar']"
831,2007,6.3,Seema Sastry,G. Nageswara Reddy,"['Allari Naresh', 'Farzana Barucha', 'Ali', 'Ananth']"
832,1994,6.2,Mugguru Monagallu,K. Raghavendra Rao,"['Chiranjeevi', 'Ramya Krishnan', 'Roja', 'Nagma']"
833,2013,6.7,Anthaka Mundu Aa Tarvatha,Mohana Krishna Indraganti,"['Sumanth Ashwin', 'Eesha Rebba', 'Madhoo', 'Rao Ramesh']"
834,1999,6.3,Prema Katha,Ram Gopal Varma,"['Sumanth', 'Antara Mali', 'Manoj Bajpayee', 'Giri Babu']"
835,2009,5.3,Ride,Ramesh Varma,"['Nani', 'Tanish', 'Shweta Basu Prasad', 'Aksha Pardasany']"
836,2021,7.9,Valasa,Suneel Kumar Reddy,"['Teju Anupoju', 'Fm Babai', 'Vinay Mahdevan', 'Manoj Nandam']"
837,1981,7.2,Saptapadhi,K. Viswanath,"['J.V. Somayajulu', 'Sabitha Bhamidipati', 'Girish', 'Allu Ramalingaiah']"
838,2009,4.3,Mitrudu,A. Mahadev,"['Nandamuri Balakrishna', 'Priyamani', 'Annie', 'Raghu Babu']"
839,1967,7.1,Ave Kallu,A.C. Trilogchander,"['Krishna Ghattamaneni', 'Kanchana', 'Gummadi', 'Rajanala']"
840,2019,4.9,Hippi,N. Krishna,"['Digangana Suryavanshi', 'MD Asif', 'Brahmaji', 'J.D. Chakravarthi']"
841,2018,6.8,Desa dimmari,Nagesh Nara Dasi,"['Tanish Alladi', 'Suman', 'Fish Venkat']"
842,2019,7.3,Voter,G. Karthik Reddy,"['Brahmaji', 'Slim Khezri', 'Vishnu Manchu', 'Nassar']"
843,2012,5.6,Ee Rojullo,Maruthi Dasari,"['Srinivas', 'Reshma', 'Saikumar Sampana', 'M.S. Narayana']"
844,2018,5.2,Raju Gadu,Sanjana Reddy,"['Krishna Bhagavan', 'Amyra Dastur', 'Raghu Kumar Karumanchi', 'Khayyum']"
845,2016,5.7,Guntur Talkies,Praveen Sattaru,"['Mehaboob Ai', 'B. Ambareesh', 'Apoorva', 'P. Eshwar Appa']"
846,2009,5.0,Sankham,Siva,"['Tottempudi Gopichand', 'Trisha Krishnan', 'Chandramohan', 'Kota Srinivasa Rao']"
847,2021,6.1,D Company,Ram Gopal Varma,"['Sandeep Bose', 'Abhilash Chaudhary', 'Pranay Dixit', 'Naina Ganguly']"
848,2008,5.8,Ontari,B.V. Ramana,"['Tottempudi Gopichand', 'Bhavana', 'Ajay', 'Ashish Vidyarthi']"
849,2013,4.7,Case No. 666/2013,Venkat Siddareddy,"['Purnesh Konathala', 'Aditya Agarwal', 'Ashwini Bejanki', 'Guru Charan', 'Anurag Chowdary']"
850,2012,3.5,Naa Ishtam,Prakash Tholeti,"['Rana Daggubati', ""Genelia D'Souza"", 'Brahmanandam', 'Harshavardhan']"
851,2012,5.5,All the Best,J.D. Chakravarthi,"['Srikanth', 'J.D. Chakravarthi', 'Lucky Sharma', 'Pradeep Singh Rawat']"
852,2008,4.3,Bhale Dongalu,Vijay K. Bhaskar,"['Tarun', ""Ileana D'Cruz"", 'Jagapathi Babu', 'Charmy Kaur']"
853,1985,1.5,Edadugula Bandham,Narayana Rao Dasari,"['Giri Babu', 'Mohan Babu', 'Jayasudha', 'Satyanarayana Kaikala']"
854,2019,3.6,Suvarna Sundari,Msn Surya,"['Shamna Kasim', 'Sakshi Chaudhary', 'Jaya Prada', 'Avantika']"
855,2015,4.8,Sankarabharanam,Kona Venkat,"['Uday Nandanavanam', 'Satya Akkala', 'Anjali', 'Raghu Babu', 'Krishna Bhagavan']"
856,1993,7.3,Mr. Pellam,Bapu,"['Rajendra Prasad', 'Aamani', 'A.V.S. Subramanyam', 'Gundu Sudharshan']"
857,2017,5.9,Kittu Unnadu Jagratha,Vamsi Krishna,"['Raj Tarun', 'Anu Emmanuel', 'Arbaaz Khan', 'Nagendra Babu']"
858,1996,7.1,Dharma Chakram,Suresh Krishna,"['Venkatesh Daggubati', 'Ramya Krishnan', 'Brahmanandam', 'Gummadi']"
859,2012,4.6,Nuvva Nena,Narayana,"['Sharwanand', 'Allari Naresh', 'Shriya Saran', 'Brahmanandam']"
860,1986,1.6,Maanavudu Daanavudu,C.V. Ramana Babu,"['Mohan Babu', 'Rajani']"
861,2015,6.2,Tippu,Prince Jagadeesh Daneti,"['Satya Karthik', 'Kanika Kapur', 'Kanika Kapoor', 'M.S. Narayana']"
862,2014,4.8,Kotha Janta,Maruthi Dasari,"['Allu Sirish', 'Joy Badlani', 'Nyra Banerjee', 'Regina Cassandra']"
863,2019,5.2,1st Rank Raju,Naresh Kumar,"['Ananth', 'Aryan', 'Basha', 'Bhadram']"
864,2020,4.6,Asalu Em Jarigindhante,Srinivas Bandari,"['Karunya Chowdary', 'KarronyaKatrynn', 'Mahendran', 'Sri Pallavi']"
865,2005,3.0,Allari Bullodu,K. Raghavendra Rao,"['Nithiin', 'Trisha Krishnan', 'Rathi', 'Paresh Rawal']"
866,2019,5.4,Raagala 24 Gantallo,Sreenivass Redde,"['Ambika', 'Ammulu', 'Anushka', 'Krishna Bhagavan']"
867,1989,7.1,Chettu Kinda Pleader,Vamsy,"['Rajendra Prasad', 'Kinnera', 'Urvashi', 'Gollapudi Maruthi Rao']"
868,2011,6.8,Nuvvila,Ravi Babu,"['Havish', 'Sarayu Mohan', 'Yami Gowtham', 'Prasad Barve']"
